(2, 4, , 12)


3,  "(2,    3,      6)",7

4,  "(2,    4,      6,      12)",13

5,  "(2,    4,      10,     12,     15)",16


6,  "(3,    4,      6,      10,     12,     15)",16

7,  "(3,    4,      9,      10,     12,     15,     18)",19

8,  "(3,    5,      9,      10,     12,     15,     18,     20)",21


9,  "(4,    5,      8,      9,      10,     15,     18,     20,     24)",25


10, "(5,    6,      8,      9,      10,     12,     15,     18,     20,     24)",25

11, "(5,    6,      8,      9,      10,     15,     18,     20,     21,     24,     28)",29


12, "(6,    7,      8,      9,      10,     14,     15,     18,     20,     24,     28,     30)",31

13, "(6,    7,      8,      9,      11,     14,     18,     20,     22,     24,     28,     30,     33)",34

14, "(6,    8,      9,      10,     11,     15,     18,     20,     21,     22,     24,     28,     30,     33)",34

15, "(6,    8,      9,      11,     14,     15,     18,     20,     21,     22,     24,     28,     30,     33,     35)",36

16, "(6,    8,      11,     12,     14,     15,     18,     20,     21,     22,     24,     28,     30,     33,     35,     36)",37

[6, 12, 20, 30, 42, 56, 72, 90, 110, 132, 156, 182, 210, 240]
?, (

6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 
17,"(6, 10, 11, 12, 14, 15, 18, 20, 21, 22, 24, 28, 30, 33, 35, 36, 40)",41
